Respuesta,Frecuencia,Asociaci贸n
tratar,1,0.027777777777777776
forma,1,0.027777777777777776
presentar,1,0.027777777777777776
caso,1,0.027777777777777776
persona,1,0.027777777777777776
venir,1,0.027777777777777776
condici贸n,1,0.027777777777777776
recibir,1,0.027777777777777776
negar,1,0.027777777777777776
derecho,1,0.027777777777777776
matrimonio,1,0.027777777777777776
causa,1,0.027777777777777776
alarma,1,0.027777777777777776
falta,1,0.027777777777777776
sentencia,1,0.027777777777777776
instante,1,0.027777777777777776
inocente,1,0.027777777777777776
alimento,1,0.027777777777777776
prometer,1,0.027777777777777776
perder,1,0.027777777777777776
desgraciar,1,0.027777777777777776
pasi贸n,1,0.027777777777777776
dudar,1,0.027777777777777776
divorcio,1,0.027777777777777776
culpable,1,0.027777777777777776
conservar,1,0.027777777777777776
virginidad,1,0.027777777777777776
esposo,1,0.027777777777777776
caricia,1,0.027777777777777776
fijar,1,0.027777777777777776
himen,1,0.027777777777777776
provecho,1,0.027777777777777776
injustamente,1,0.027777777777777776
c贸nyuge,1,0.027777777777777776
reclamar,1,0.027777777777777776
pactar,1,0.027777777777777776
