Respuesta,Frecuencia,Asociaci칩n
interacci칩n,1,0.05263157894736842
orgasmo,1,0.05263157894736842
referir,1,0.05263157894736842
plantear,1,0.05263157894736842
sexo,1,0.05263157894736842
mujer,1,0.05263157894736842
hombre,1,0.05263157894736842
fern치ndez,1,0.05263157894736842
amor,1,0.05263157894736842
1995,1,0.05263157894736842
acto_sexual,1,0.05263157894736842
치lvarezgayou,1,0.05263157894736842
master,1,0.05263157894736842
johnson,1,0.05263157894736842
componente,1,0.05263157894736842
kolodny,1,0.05263157894736842
2010,1,0.05263157894736842
apareamiento,1,0.05263157894736842
2011,1,0.05263157894736842
